epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,101.401,1.11024,0.8619,0.99784,1.23701,0.000237853,0.000237853,0.000237853
2,192.015,0.60917,0.89858,0.99938,1.1721,0.000449681,0.000449681,0.000449681
3,283.214,0.53251,0.92293,1,1.1528,0.000635329,0.000635329,0.000635329
4,374.672,0.46699,0.93033,1,1.14137,0.00059619,0.00059619,0.00059619
5,465.375,0.42035,0.94205,1,1.12691,0.00055692,0.00055692,0.00055692
6,553.479,0.37406,0.95407,1,1.11283,0.00051765,0.00051765,0.00051765
7,646.564,0.35312,0.95592,1,1.10996,0.00047838,0.00047838,0.00047838
8,739.098,0.32362,0.96301,1,1.10225,0.00043911,0.00043911,0.00043911
9,832.27,0.30544,0.96486,1,1.09935,0.00039984,0.00039984,0.00039984
10,922.289,0.29608,0.9701,1,1.08908,0.00036057,0.00036057,0.00036057
11,1015.4,0.28198,0.9701,1,1.08903,0.0003213,0.0003213,0.0003213
12,1107.26,0.26739,0.97472,1,1.08847,0.00028203,0.00028203,0.00028203
13,1199.42,0.24782,0.97811,1,1.08307,0.00024276,0.00024276,0.00024276
14,1288.3,0.23509,0.97441,1,1.08406,0.00020349,0.00020349,0.00020349
15,1380.9,0.22804,0.97996,1,1.07944,0.00016422,0.00016422,0.00016422
16,1470.94,0.22513,0.97935,1,1.07729,0.00012495,0.00012495,0.00012495
17,1563.93,0.21943,0.98027,1,1.07551,8.568e-05,8.568e-05,8.568e-05
18,1653.59,0.21554,0.98397,1,1.07387,4.641e-05,4.641e-05,4.641e-05
